wichita-state,1
cal-poly,2
kentucky,3
kansas-state,4
saint-louis,5
north-carolina-state,6
louisville,7
manhattan,8
massachusetts,9
tennessee,10
duke,11
mercer,12
texas,13
arizona-state,14
michigan,15
wofford,16
arizona,17
weber-state,18
gonzaga,19
oklahoma-state,20
oklahoma,21
north-dakota-state,22
san-diego-state,23
new-mexico-state,24
baylor,25
nebraska,26
creighton,27
louisiana-lafayette,28
oregon,29
brigham-young,30
wisconsin,31
american,32
virginia,33
coastal-carolina,34
memphis,35
george-washington,36
cincinnati,37
harvard,38
michigan-state,39
delaware,40
north-carolina,41
providence,42
iowa-state,43
north-carolina-central,44
connecticut,45
saint-josephs,46
villanova,47
milwaukee,48
florida,49
albany-ny,50
colorado,51
pittsburgh,52
virginia-commonwealth,53
stephen-f-austin,54
ucla,55
tulsa,56
ohio-state,57
dayton,58
syracuse,59
western-michigan,60
new-mexico,61
stanford,62
kansas,63
eastern-kentucky,64
